eventID	eventDate	decimalLatitude	decimalLongitude	geodeticDatum	country	countryCode	habitat	samplingProtocol	basisOfRecord	locality	verbatimLocality
LIFE4POLL2	2021-05-17	45.138143	10.441288	WGS84	Italy	IT	lowland, riverside	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	IT20B0401|IT20A0004	observation located in Natura 2000 sites with codes IT20B0401|IT20A0004
LIFE4POLL3	2021-05-17	45.138514	10.441639	WGS84	Italy	IT	lowland, riverside	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	IT20B0401|IT20A0005	observation located in Natura 2000 sites with codes IT20B0401|IT20A0005
LIFE4POLL5	2021-05-20*	39.254287	9.154183	WGS84	Italy	IT	island, urban	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	OutsideNatura2000	observation located outside Natura 2000 sites
LIFE4POLL6	2021-05-21*	44.499658	11.353598	WGS84	Italy	IT	urban	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	OutsideNatura2000	observation located outside Natura 2000 sites
LIFE4POLL7	2021-05-22	45.140532	10.43848	WGS84	Italy	IT	lowland, riverside	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	IT20B0401|IT20A0005	observation located in Natura 2000 sites with codes IT20B0401|IT20A0005
LIFE4POLL8	2021-05-21	45.140532	10.43848	WGS84	Italy	IT	lowland, riverside	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	IT20B0401|IT20A0005	observation located in Natura 2000 sites with codes IT20B0401|IT20A0005
LIFE4POLL9	2021-06-10	44.465228	11.287229	WGS84	Italy	IT	hills	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	IT4050029	observation located in Natura 2000 site with code IT4050029
LIFE4POLL10	2021-06-10	44.465212	11.287143	WGS84	Italy	IT	hills	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	IT4050029	observation located in Natura 2000 site with code IT4050029
LIFE4POLL11	2021-06-12*	44.499284	11.354288	WGS84	Italy	IT	urban	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	OutsideNatura2000	observation located outside Natura 2000 sites
LIFE4POLL12	2021-06-13*	na	na	na	na	na	lowland, riverside	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	na	observation without coordinates
LIFE4POLL14	2021-06-13*	45.111727	10.79988	WGS84	Italy	IT	periurban	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	OutsideNatura2000	observation located outside Natura 2000 sites
LIFE4POLL15	2021-06-16	45.140494	10.4386	WGS84	Italy	IT	lowland, riverside	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	IT20B0401|IT20A0004	observation located in Natura 2000 sites with codes IT20B0401|IT20A0004
LIFE4POLL17	2021-06-13	45.541255	9.209332	WGS84	Italy	IT	urban	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	OutsideNatura2000	observation located outside Natura 2000 sites
LIFE4POLL18	2021-06-13	45.541285	9.209118	WGS84	Italy	IT	urban	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	OutsideNatura2000	observation located outside Natura 2000 sites
LIFE4POLL19	2021-06-08	45.565146	10.220203	WGS84	Italy	IT	urban	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	OutsideNatura2000	observation located outside Natura 2000 sites
LIFE4POLL20	2021-06-30*	44.500474	11.353292	WGS84	Italy	IT	urban	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	OutsideNatura2000	observation located outside Natura 2000 sites
LIFE4POLL21	2021-06-30*	44.500474	11.353292	WGS84	Italy	IT	urban	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	OutsideNatura2000	observation located outside Natura 2000 sites
LIFE4POLL23	2021-08-18*	na	na	na	na	na	riverside	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	na	observation without coordinates
LIFE4POLL24	2021-08-18*	na	na	na	na	na	na	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	na	observation without coordinates
LIFE4POLL25	2021-08-12	42.925006	13.898392	WGS84	Italy	IT	seaside	"visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx"	HumanObservation	OutsideNatura2000	observation located outside Natura 2000 sites
