eventID	resourceID	relatedResourceID	relationshipOfResource	relationshipOfResourceID
LIFE4POLL2	LIFE4POLL2-a-1000000	LIFE4POLL2-p-1000000	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL3	LIFE4POLL3-a-1000001	LIFE4POLL3-p-1000001	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL5	LIFE4POLL5-a-1000002	LIFE4POLL5-p-1000002	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL6	LIFE4POLL6-a-1000003	LIFE4POLL6-p-1000003	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL7	LIFE4POLL7-a-1000004	LIFE4POLL7-p-1000004	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL8	LIFE4POLL8-a-1000005	LIFE4POLL8-p-1000005	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL9	LIFE4POLL9-a-1000006	LIFE4POLL9-p-1000006	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL10	LIFE4POLL10-a-1000007	LIFE4POLL10-p-1000007	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL11	LIFE4POLL11-a-1000008	LIFE4POLL11-p-1000008	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL12	LIFE4POLL12-a-1000009	LIFE4POLL12-p-1000009	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL14	LIFE4POLL14-a-1000010	LIFE4POLL14-p-1000010	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL15	LIFE4POLL15-a-1000011	LIFE4POLL15-p-1000011	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL17	LIFE4POLL17-a-1000012	LIFE4POLL17-p-1000012	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL18	LIFE4POLL18-a-1000013	LIFE4POLL18-p-1000013	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL19	LIFE4POLL19-a-1000014	LIFE4POLL19-p-1000014	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL20	LIFE4POLL20-a-1000015	LIFE4POLL20-p-1000015	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL21	LIFE4POLL21-a-1000016	LIFE4POLL21-p-1000016	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL23	LIFE4POLL23-a-1000017	LIFE4POLL23-p-1000017	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL24	LIFE4POLL24-a-1000018	LIFE4POLL24-p-1000018	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
LIFE4POLL25	LIFE4POLL25-a-1000019	LIFE4POLL25-p-1000019	visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
